Train/Valid/Test,HoV (kJ/mol),HoV_pred_lit,AE_lit,smiles,temperature,num_heavy_atoms,Error
Train,32.02,32.33,0.30999999999999517,CCCCCOC,372.0,7,0.01
Train,57.3,56.65,0.6499999999999986,CC(O)CC(C)(C)O,470.65,8,0.01
Train,36.28,33.22,3.0600000000000023,CCOC(C)OCC,376.65,8,0.01
Train,36.28,35.6,0.6799999999999997,CCOCCOCC,394.55,8,0.01
Train,36.17,37.47,1.2999999999999972,CCOCOCOCC,413.15,9,0.01
Train,47.5,51.5,4.0,CCOCCOCCO,475.05,9,0.01
Train,36.17,40.52,4.350000000000001,COCCOCCOC,435.65,9,0.01
Train,71.4,66.29,5.109999999999999,OCCOCCOCCO,540.0,10,0.01
Train,42.5,42.26,0.240000000000002,O=Cc1ccccc1,451.9,8,0.01
Test,33.18,34.19,1.009999999999998,Cc1ccccc1,383.78,7,0.01
Train,45.19,47.25,2.0600000000000023,Cc1ccccc1O,464.154,8,0.01
Train,47.4,48.38,0.980000000000004,Cc1cccc(O)c1,475.425,8,0.01
Train,47.45,48.28,0.8299999999999983,Cc1ccc(O)cc1,475.133,8,0.01
Train,50.48,48.81,1.6699999999999946,OCc1ccccc1,478.6,8,0.01
Train,38.97,38.96,0.00999999999999801,COc1ccccc1,426.73,8,0.01
Train,31.07,30.69,0.379999999999999,CC12CCCC1C2,364.95,7,0.01
Train,54.8,50.83,3.969999999999999,CCOC(=O)CC(=O)OCC,472.05,11,0.01
Train,31.27,31.24,0.030000000000001137,CC1CCCCC1,374.084,7,0.01
Train,31.96,31.65,0.3100000000000023,CCC1CCCC1,376.62,7,0.01
Test,36.09,33.98,2.1100000000000065,CCC(=O)C(C)(C)C,398.15,8,0.01
Train,34.64,34.06,0.5799999999999983,CC(C)C(=O)C(C)C,397.55,8,0.01
Train,53.0,47.36,5.640000000000001,CC1CCCCC1O,438.15,8,0.01
Train,38.42,38.14,0.28000000000000114,CCCCCOC(C)=O,421.15,9,0.01
Train,37.5,38.04,0.5399999999999991,CC(=O)OCCC(C)C,415.15,9,0.01
Train,36.96,37.52,0.5600000000000023,CCCCC(=O)OCC,415.0,9,0.01
Train,37.0,37.51,0.509999999999998,CCOC(=O)CC(C)C,407.45,9,0.01
Train,34.51,35.62,1.1099999999999994,CCOC(=O)C(C)(C)C,391.7,9,0.01
Train,38.55,38.2,0.3499999999999943,CCCCCC(=O)OC,423.0,9,0.01
Train,31.77,31.42,0.34999999999999787,CCCCCCC,371.58,7,0.01
Train,30.62,30.71,0.08999999999999986,CCCCC(C)C,363.199,7,0.01
Test,30.9,30.53,0.36999999999999744,CCCC(C)CC,365.0,7,0.01
Test,31.12,30.82,0.3000000000000007,CCC(CC)CC,366.62,7,0.01
Train,29.23,29.46,0.23000000000000043,CCCC(C)(C)C,352.34,7,0.01
Train,30.46,30.42,0.03999999999999915,CCC(C)C(C)C,362.931,7,0.01
Train,29.55,29.18,0.370000000000001,CC(C)CC(C)C,353.644,7,0.01
Train,29.62,29.58,0.0400000000000027,CCC(C)(C)CC,359.21,7,0.01
Train,28.9,29.36,0.46000000000000085,CC(C)C(C)(C)C,354.03,7,0.01
Test,34.93,35.06,0.13000000000000256,CCCCCCOC,399.2,8,0.01
Train,42.5,45.74,3.240000000000002,CCCCC(O)CC,429.15,8,0.01
Train,33.72,34.12,0.3999999999999986,CCCCOCCC,390.3,8,0.01
Train,34.41,33.73,0.6799999999999997,CCCCCOCC,392.7,8,0.01
Test,38.7,36.69,2.010000000000005,C=Cc1ccccc1,418.31,8,0.01
Test,43.98,44.32,0.3400000000000034,CC(=O)c1ccccc1,475.26,9,0.01
Train,35.57,36.54,0.9699999999999989,COC(=O)c1ccccc1O,493.9,11,0.01
Train,36.24,36.62,0.37999999999999545,Cc1ccccc1C,417.58,8,0.01
Train,35.66,36.37,0.7100000000000009,Cc1cccc(C)c1,412.27,8,0.01
Train,35.67,37.19,1.519999999999996,Cc1ccc(C)cc1,411.51,8,0.01
Train,46.9,50.32,3.4200000000000017,Cc1ccc(C)c(O)c1,484.33,9,0.01
Train,35.83,39.9,4.07,C#CCCCCCC,399.35,8,0.01
Train,37.26,34.47,2.789999999999999,CC#CCCCCC,410.88,8,0.01
Test,36.94,35.06,1.8799999999999955,CCC#CCCCC,406.29,8,0.01
Train,36.0,35.24,0.759999999999998,CCCC#CCCC,405.0,8,0.01
Train,50.0,45.86,4.140000000000001,CCCC(=O)OC(=O)CCC,470.93,11,0.01
Train,34.07,34.32,0.25,C=CCCCCCC,394.41,8,0.01
Train,34.04,34.08,0.03999999999999915,CCC1CCCCC1,404.945,8,0.01
Test,32.51,33.05,0.5399999999999991,CC1(C)CCCCC1,392.7,8,0.01
Train,32.96,33.55,0.5899999999999963,CC1CCCCC1C,396.58,8,0.01
Test,33.39,32.95,0.4399999999999977,CC1CCCC(C)C1,393.24,8,0.01
Test,32.56,33.79,1.2299999999999969,CC1CCC(C)CC1,392.51,8,0.01
Test,34.7,34.28,0.4200000000000017,CCCC1CCCC1,404.11,8,0.01
Train,33.56,33.8,0.23999999999999488,CC(C)C1CCCC1,399.58,8,0.01
Test,33.2,33.27,0.07000000000000028,CCC1(C)CCCC1,394.672,8,0.01
Train,35.64,34.94,0.7000000000000028,CC(C)C(=O)C(C)(C)C,407.0,9,0.01
Train,58.5,52.88,5.619999999999997,CCCCCCCC(=O)O,512.85,10,0.01
Train,38.2,38.39,0.18999999999999773,CC(C)COC(=O)C(C)C,420.45,10,0.01
Train,34.41,34.07,0.3399999999999963,CCCCCCCC,398.83,8,0.01
Train,33.26,33.28,0.020000000000003126,CCCCCC(C)C,390.8,8,0.01
Train,33.66,33.47,0.18999999999999773,CCCCC(C)CC,392.08,8,0.01
Test,33.35,33.05,0.30000000000000426,CCCC(C)CCC,390.86,8,0.01
Train,33.59,33.03,0.5600000000000023,CCCC(CC)CC,391.69,8,0.01
Train,32.07,32.38,0.3100000000000023,CCCCC(C)(C)C,379.99,8,0.01
Train,33.17,32.98,0.19000000000000483,CCCC(C)C(C)C,388.76,8,0.01
Train,32.51,32.23,0.28000000000000114,CCC(C)CC(C)C,382.58,8,0.01
Train,32.54,32.87,0.3299999999999983,CC(C)CCC(C)C,382.26,8,0.01
Train,32.31,32.07,0.240000000000002,CCCC(C)(C)CC,385.12,8,0.01
Train,33.24,32.99,0.25,CCC(C)C(C)CC,390.88,8,0.01
Train,32.93,32.66,0.2700000000000031,CCC(CC)C(C)C,388.8,8,0.01
Train,32.78,32.25,0.5300000000000011,CCC(C)(CC)CC,391.42,8,0.01
Train,31.94,31.92,0.019999999999999574,CCC(C)C(C)(C)C,382.995,8,0.01
Train,30.79,31.04,0.25,CC(C)CC(C)(C)C,372.388,8,0.01
Train,32.12,32.05,0.07000000000000028,CCC(C)(C)C(C)C,387.92,8,0.01
Train,32.36,32.23,0.13000000000000256,CC(C)C(C)C(C)C,386.62,8,0.01
Train,44.4,47.52,3.1200000000000045,CCCCCCC(C)O,452.9,9,0.01
Train,54.2,48.85,5.350000000000001,CCCCC(CC)CO,457.6,9,0.01
Train,36.49,36.46,0.030000000000001137,CCCCOCCCC,414.15,9,0.01
Train,34.06,33.64,0.4200000000000017,CCC(C)OC(C)CC,394.2,9,0.01
Train,32.15,31.28,0.8699999999999974,CC(C)(C)OC(C)(C)C,379.9,9,0.01
