smiles,logA_stoch_mean,logA_stoch_std,C_stoch_mean,C_stoch_std,B_stoch_mean,B_stoch_std,fail_count,n_data,kl_div_two_normal_dists,MAE_stoch,MAE_db_and_sampled_hov,logA_det,C_det,B_det,MAE_det
CC#CC(C)(C)C#Cc1ccccc1,1.758,0.336,0.42,0.06,758.7,8.7,0,12,0.013,1.11,3.18,1.709,0.43,763.0,0.84
CC#CC(C)C,1.524,0.216,0.34,0.04,534.7,7.4,0,20,0.013,0.15,1.19,1.393,0.37,539.5,0.13
CC#CC(C)CC,1.46,0.184,0.37,0.04,564.5,4.2,0,22,0.01,0.25,1.53,1.377,0.38,567.6,0.19
CC#CC1CCCC1,1.619,0.234,0.36,0.04,614.3,6.6,0,20,0.013,0.21,1.92,1.479,0.39,619.0,0.08
CC#CC1CCCCC1,1.636,0.228,0.39,0.04,642.8,4.7,0,22,0.014,0.3,2.25,1.553,0.4,645.2,0.18
CC#CC=CC,1.51,0.181,0.37,0.03,544.3,4.6,0,31,0.014,0.17,1.64,1.435,0.39,547.4,0.03
CC#CCC,1.532,0.179,0.31,0.03,541.9,4.4,0,21,0.015,0.14,1.09,1.498,0.32,543.1,0.12
CC#CCC(C)C,1.521,0.229,0.36,0.04,567.4,5.8,0,21,0.015,0.22,1.48,1.413,0.38,571.6,0.16
CC#CCC1CCCC1,1.628,0.239,0.38,0.04,633.0,6.9,0,21,0.014,0.32,2.05,1.493,0.4,638.0,0.12
CC#CCC=Cc1ccccc1,1.774,0.428,0.36,0.08,762.3,24.6,0,12,0.008,0.34,2.32,1.705,0.37,768.2,0.19
CC#CCCCC,1.58,0.202,0.34,0.04,600.4,5.7,0,20,0.021,0.23,1.48,1.491,0.36,602.8,0.06
CC#CCCCC#CC,1.64,0.193,0.33,0.04,727.3,6.9,0,25,0.012,0.12,1.37,1.621,0.33,728.3,0.11
CC#CCCCCC,1.464,0.098,0.4,0.02,625.9,2.4,0,23,0.011,0.22,0.71,1.422,0.41,626.6,0.21
CC#CCCCCCC,1.611,0.222,0.38,0.04,626.4,4.8,0,21,0.014,0.38,1.9,1.477,0.41,629.5,0.15
CC#CCCCCCCCC,1.559,0.205,0.42,0.04,665.7,3.3,0,23,0.01,0.48,2.27,1.443,0.44,668.1,0.26
CC#CCCCCCCCCC,1.51,0.194,0.43,0.04,691.5,4.0,0,24,0.014,0.42,2.53,1.415,0.45,694.0,0.27
CC#CCCCCCCCCCCC,1.545,0.195,0.45,0.04,706.2,3.6,0,25,0.012,0.69,2.72,1.485,0.46,707.6,0.59
CC#CCCCCCCCCCCCCC,1.896,0.326,0.39,0.06,757.1,10.2,0,12,0.007,1.01,2.97,1.811,0.4,761.2,0.89
CC#CCCCCCCCCCCCCCCC,1.298,0.227,0.49,0.04,792.6,5.0,0,26,0.011,0.74,2.87,1.244,0.5,795.0,0.65
CC#CCO,1.699,0.253,0.44,0.05,568.2,4.5,0,18,0.011,1.1,3.15,1.669,0.45,571.0,1.02
CC#CCc1ccccc1,1.639,0.28,0.42,0.05,681.5,5.2,0,24,0.012,0.63,2.89,1.593,0.43,683.0,0.51
CC#COCC,1.529,0.205,0.37,0.04,534.9,5.3,0,30,0.013,0.19,1.59,1.413,0.39,538.8,0.04
CC#Cc1ccccc1,1.674,0.275,0.37,0.05,692.1,9.1,0,24,0.01,0.31,2.12,1.617,0.38,694.8,0.3
CC(=C(C)c1ccccc1)c1ccccc1,1.536,0.23,0.45,0.04,798.7,6.3,0,23,0.014,0.45,2.84,1.468,0.46,802.0,0.35
CC(=C(c1ccccc1)c1ccccc1)c1ccccc1,1.488,0.336,0.49,0.06,941.3,9.0,0,15,0.012,1.21,3.96,1.49,0.49,946.0,1.12
CC(=C=C(C)C(C)(C)C)c1ccccc1,1.575,0.393,0.41,0.07,779.3,14.5,0,12,0.018,0.37,2.38,1.472,0.42,788.0,0.2
CC(=CC(=O)C(C)C)C(C)C,1.61,0.261,0.42,0.05,644.1,5.1,0,22,0.01,0.59,2.69,1.572,0.42,646.0,0.47
