DIPPR ID,Cp_liq_298K,smiles,temperature,total_atoms,predicted,predicted_stddev
133,1840.521183267242,CCCCCC[C@H]1CCC2CCCCC2C1,298.15,16,75.59045,12.987728
568,1841.060893288452,CCCCCCc1ccccc1,298.15,12,58.281414,5.3426695
1109,2374.214024680695,CCCCCO,298.15,6,52.837,4.3129215
1429,2162.015573491159,CCCCCOC,298.15,7,37.92518,1.4622487
3317,1786.2845841722578,CCCCCOC(=O)CCC,298.15,11,56.731476,4.547742
7855,2280.287266070418,CCCCCOCCO,298.15,9,61.281635,6.2685156
7861,2164.494033650364,CCCCCOCCOCCO,298.15,12,74.52182,8.928198
567,1823.6429030731765,CCCCCc1ccccc1,298.15,11,54.564754,4.548796
1105,2399.95468458783,CCCCO,298.15,5,50.360676,3.993867
1413,2188.401185227051,CCCCOC,298.15,6,32.305645,0.9104974
1326,1953.5442168095328,CCCCOC(=O)CC,298.15,9,48.464592,2.936554
1385,1945.4310940535968,CCCCOC(=O)CCC,298.15,10,51.70708,3.671297
1346,1992.042957676119,CCCCOC(=O)CCCC,298.15,11,56.324127,4.4065423
1384,1939.650402985387,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,298.15,22,103.85236,14.18351
3344,1702.8855276891943,CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1,298.15,20,99.92876,13.90217
2376,1705.8159779436485,CCCCOC(=O)c1ccccc1C(=O)OCCCC,298.15,20,90.55819,11.556985
1409,2149.6254594326697,CCCCOC(C)C,298.15,8,38.307087,1.6718541
1304,1957.8020950470795,CCCCOC=O,298.15,7,39.894905,3.0460672
1448,2175.2477313512504,CCCCOCC,298.15,7,35.276405,1.1185263
7871,1980.572303478128,CCCCOCC(C)O,298.15,9,55.235435,5.2029676
7872,1790.3207663365552,CCCCOCC(C)OCC(C)O,298.15,13,69.15346,7.5728683
1404,2136.4891708382256,CCCCOCCCC,298.15,9,44.736153,1.8581022
2862,2308.735411822868,CCCCOCCO,298.15,8,56.19656,5.732395
6870,1965.0894342264385,CCCCOCCOC(C)=O,298.15,11,58.648075,5.1779213
4857,2207.3049781246445,CCCCOCCOCCO,298.15,11,70.30751,8.32505
3870,1965.6193284411,CCCCOCCOCCOC(C)=O,298.15,14,72.919815,7.8289204
1459,1971.60987837704,CCCCOCCOCCOCCCC,298.15,15,74.5238,7.587837
3861,2130.14832776972,CCCCOCCOCCOCCO,298.15,14,86.358665,11.6845
7864,2105.681294145909,CCCCOCCOCCOCCOCCO,298.15,17,100.98119,15.012743
1483,2423.7973526966584,CCCCOO,298.15,6,51.360817,4.3124504
713,1642.632291283172,CCCCc1cccc2ccccc12,298.15,14,71.76826,9.975758
518,1812.396470408307,CCCCc1ccccc1,298.15,10,49.275097,3.4771194
1103,2404.113395269685,CCCO,298.15,4,47.521996,3.3562455
1408,2231.494342841833,CCCOC,298.15,5,27.203676,0.6839421
1336,1951.2996957311057,CCCOC(=O)C(C)C,298.15,9,44.494453,2.6843638
1324,1954.69950918158,CCCOC(=O)CC,298.15,8,43.779266,2.158998
1327,1952.9302953581653,CCCOC(=O)CCC,298.15,9,47.269535,2.887135
1375,1683.6112900702508,CCCOC(=O)c1ccccc1C(=O)OCCC,298.15,18,85.318634,10.888706
1314,1938.5277047726595,CCCOC(C)=O,298.15,7,39.266926,1.5392023
1415,2238.610599375705,CCCOCC,298.15,6,30.847609,0.8719709
3869,2352.1345525595984,CCCOCC(C)O,298.15,8,52.177773,4.881393
3868,2224.140540803321,CCCOCC(C)OCC(C)O,298.15,12,66.29102,7.246687
1446,2172.778045037023,CCCOCCC,298.15,7,35.294167,1.0425655
3859,2175.94263420034,CCCOCCOCCO,298.15,10,67.44057,7.932184
7879,2130.5723934261187,CCCOCCOCCOCCO,298.15,13,82.8566,11.24749
592,1794.555650228236,CCCc1cccc(C)c1C,298.15,11,56.455265,5.2037253
509,1783.5939986552182,CCCc1ccccc1,298.15,9,45.249622,2.7121015
1102,2438.7486681020578,CCO,298.15,3,42.543865,2.5471287
3304,1919.401188922512,CCOC(=O)C(C)(C)C,298.15,9,41.309933,2.65552
5883,2157.0466887888315,CCOC(=O)C(C)O,298.15,8,55.653534,5.3741293
1394,1790.081772614621,CCOC(=O)CC(=O)OCC,298.15,11,62.08468,5.498166
5887,1894.9305938544865,CCOC(=O)CC(C)=O,298.15,9,59.7821,6.534026
1347,1950.185630465402,CCOC(=O)CC(C)C,298.15,9,45.605427,2.4466515
2378,1900.41819385158,CCOC(=O)CCC(=O)OCC,298.15,12,64.71974,6.418216
7892,1909.44148762322,CCOC(=O)CCC(C)=O,298.15,10,60.606445,7.272376
3312,1529.2355590049965,CCOC(=O)Cc1ccccc1,298.15,12,61.686604,5.804316
1392,1694.7438203620866,CCOC(=O)OCC,298.15,8,45.30847,2.2671528
1391,1565.5481211516876,CCOC(=O)c1ccccc1,298.15,11,58.575645,4.8376865
2375,1645.6716239575978,CCOC(=O)c1ccccc1C(=O)OCC,298.15,16,78.21757,10.118964
1428,2155.836172819701,CCOC(C)(C)C,298.15,7,32.13455,1.2320768
1313,1939.288773488722,CCOC(C)=O,298.15,6,35.124577,1.2852453
1432,1752.4550840721265,CCOC(C)OCC,298.15,8,39.004444,2.35504
1436,1754.7856270016534,CCOC(OCC)OCC,298.15,10,47.830437,3.893879
1302,1980.5399576392529,CCOC=O,298.15,5,31.484737,1.9930917
1402,2370.3112569608534,CCOCC,298.15,5,26.421175,0.7121359
1434,2168.548925382829,CCOCC(C)C,298.15,7,33.445934,1.4814111
3894,2215.079832677692,CCOCC(C)O,298.15,7,47.84036,4.363641
3851,1463.6031900685334,CCOCC(C)OC(C)=O,298.15,10,50.505547,4.4635677
3891,2232.5352592177064,CCOCC(C)OCC(C)O,298.15,11,61.457027,6.7271743
3892,2161.6351372975355,CCOCC(C)OCC(C)OCC(C)O,298.15,15,78.128685,10.629133
2861,2333.5491400145493,CCOCCO,298.15,6,49.118538,5.185795
2456,2188.709209844093,CCOCCOCC,298.15,8,40.88741,2.6010103
2864,2196.210774811694,CCOCCOCCO,298.15,9,63.03216,7.516347
1458,2084.828130782453,CCOCCOCCOCC,298.15,11,57.22245,5.654767
3862,2130.9848260127355,CCOCCOCCOCCO,298.15,12,78.21026,10.69586
9869,2103.322467236794,CCOCCOCCOCCOCCO,298.15,15,94.90444,14.234158
1460,1694.040762962216,CCOCc1ccccc1,298.15,10,51.383774,4.496827
1438,2668.0156119552444,CCOO,298.15,4,55.767597,6.0750904
1462,1878.7115493624065,CCOc1ccccc1,298.15,9,49.638412,3.9040313
594,1769.7515065220998,CCc1c(C)ccc(C)c1C,298.15,11,55.84443,4.958827
595,1769.7515065220998,CCc1cc(C)c(C)cc1C,298.15,11,55.981766,5.2788906
553,1790.2490913609836,CCc1cc(CC)c(CC)c(CC)c1,298.15,14,65.39831,8.324407
555,1802.518454498793,CCc1cc(CC)c(CC)c(CC)c1CC,298.15,16,72.001564,10.004252
3545,1779.6633281182008,CCc1cc(CC)cc(CC)c1,298.15,12,57.851875,5.831336
593,1769.7515065220998,CCc1ccc(C)c(C)c1C,298.15,11,56.36796,4.557982
513,1743.2404088017436,CCc1ccc(C)cc1,298.15,9,46.993275,2.966177
545,1815.45205267087,CCc1ccc(CC)c(CC)c1,298.15,12,58.068405,5.716975
527,1800.783159687354,CCc1ccc(CC)cc1,298.15,10,51.17481,3.6147094
591,1552.4791067789631,CCc1ccc(CCc2ccccc2)cc1,298.15,16,85.84482,12.292677
1187,2062.7238827121705,CCc1ccc(O)cc1,298.15,9,64.18747,8.126444
512,1739.542802190749,CCc1cccc(C)c1,298.15,9,47.559586,3.0637465
580,1850.7705019579505,CCc1cccc(C)c1C,298.15,10,52.18796,3.9203196
526,1772.975744126402,CCc1cccc(CC)c1,298.15,10,52.00243,4.002965
548,1804.2414293545207,CCc1cccc(CC)c1CC,298.15,12,57.17928,5.7324505
2112,1820.257155691961,CCc1cccc(O)c1,298.15,9,64.19542,8.352414
704,1577.197428947295,CCc1cccc2ccccc12,298.15,12,63.4255,8.185853
504,1726.644557272332,CCc1ccccc1,298.15,8,42.10904,1.7852012
511,1772.159912530867,CCc1ccccc1C,298.15,9,46.597443,2.668377
2522,1823.7480122642269,CCc1ccccc1C(C)C,298.15,11,50.78862,3.8092475
525,1806.523093923421,CCc1ccccc1CC,298.15,10,49.52781,3.5334368
1185,2062.7238827121705,CCc1ccccc1O,298.15,9,57.25582,6.9912395
1101,2532.19382693886,CO,298.15,2,37.756664,1.6736275
2387,1797.8140739560529,COC(=O)/C=C\C(=O)OC,298.15,10,69.3193,7.4520197
9872,2011.6253670299725,COC(=O)C(C)(C)O,298.15,8,51.281868,5.5413814
9873,1888.046322002796,COC(=O)C(C)(C)OC,298.15,9,47.437206,4.1296897
2875,2010.7594818876903,COC(=O)C(C)O,298.15,7,52.844105,5.4195366
3394,1589.1230873559084,COC(=O)CC(=O)OC,298.15,9,58.266354,4.814364
5886,1922.2784422242944,COC(=O)CC(C)=O,298.15,8,56.44775,6.334019
3377,1773.6969981867903,COC(=O)CCC(=O)OC,298.15,10,60.10896,5.9193873
3897,2185.7834771646,COC(=O)CO,298.15,6,52.517815,6.1801724
2391,1893.000035093908,COC(=O)OC,298.15,6,37.95058,1.574248
3390,1576.1911501248094,COC(=O)c1ccc(C(=O)OC)c(C(=O)OC)c1,298.15,18,97.34234,14.569191
7865,1640.3904393377445,COC(=O)c1ccc(C)cc1,298.15,11,61.74057,6.0569935
1390,1536.1394190034994,COC(=O)c1ccccc1,298.15,10,55.211163,4.221242
2377,1564.654086388877,COC(=O)c1ccccc1C(=O)OC,298.15,14,77.34375,10.097277
1373,1627.1402926397168,COC(=O)c1ccccc1O,298.15,11,65.98584,8.752609
1405,2134.963295405213,COC(C)(C)C,298.15,6,29.157827,1.0297247
1312,1917.80627262982,COC(C)=O,298.15,5,32.280903,1.3590726
1411,2186.4118015098275,COC(C)C,298.15,5,26.146389,0.85592735
2876,2244.297582312079,COC(C)CO,298.15,6,50.84508,4.866706
1468,2134.856989727516,COC(C)OC,298.15,6,31.730541,1.7528268
1899,1652.4671996502927,COC1CCC=CO1,298.15,8,41.879276,3.8617482
1301,1993.378686136288,COC=O,298.15,4,27.383474,1.7106711
7858,2097.393147435978,COCC(C)=O,298.15,6,42.496956,4.0546956
3854,2439.362547456541,COCC(C)O,298.15,6,46.68584,4.0806723
1489,2120.524882777715,COCC(C)OC,298.15,7,36.68871,2.653688
2860,2306.417943728596,COCCO,298.15,5,46.61638,5.258939
1455,2166.705018618696,COCCOC,298.15,6,34.205967,2.446082
2863,2213.156809632109,COCCOCCO,298.15,8,59.267513,7.4526005
1456,2040.3000868298511,COCCOCCOC,298.15,9,49.578136,5.1490183
2869,2139.844887939112,COCCOCCOCCO,298.15,11,74.50662,10.297024
1454,2065.320845699706,COCCOCCOCCOC,298.15,12,65.07565,7.7753143
